Course	Room	Teacher	Time	Students
67	30	9	1	20 363 365 399 483 489 517 671 699 865 969 1047 1079 1130 1151 1154 1168 1185 1279
177	49	32	1	4 28 75 142 149 164 199 229 281 334 387 543 584 817 972 1077 1110 1178 1188
425	30	145	2	6 57 160 164 191 219 378 417 509 605 676 810 902 968 1040 1090 1105 1134 1166
37	30	169	3	8 160 162 180 188 216 384 432 447 491 565 608 707 855 986 1018 1040 1137
68	49	234	3	258 382 429 440 530 542 645 694 763 813 905 916 1011 1111 1120 1147 1173 1258
147	43	165	3	78 267 272 286 288 610 681 749 767 796 886 918 924 954 981 1234 1241 1278
176	18	231	3	22 116 279 311 370 541 568 650 783 791 808 850 929 937 1012 1171 1237 1262
224	17	63	3	19 38 48 235 247 254 443 444 586 588 698 890 914 976 1079 1103 1156 1219
348	39	44	3	44 89 172 264 428 455 467 477 519 553 674 695 713 858 859 1062 1074 1291
381	30	123	4	130 140 172 205 212 266 440 478 558 571 578 623 626 716 1036 1111 1126 1161
35	30	199	5	46 86 217 227 254 341 465 466 478 529 577 615 666 775 900 1000 1029
70	49	55	5	49 67 122 248 348 355 358 449 648 678 717 792 830 935 1073 1097 1160
106	43	65	5	187 192 201 344 376 535 561 591 680 697 807 873 1089 1187 1212 1262 1287
116	30	183	6	14 196 201 310 322 331 361 382 614 748 1016 1030 1096 1106 1166 1212 1216
130	49	111	6	61 141 158 197 250 278 330 448 483 501 556 560 602 811 899 1050 1124
342	43	132	6	24 146 194 350 362 400 424 468 569 631 657 716 977 1026 1185 1217 1242
349	30	164	7	107 204 319 325 385 473 501 690 739 832 847 901 907 947 960 1136 1195
359	49	197	7	42 63 126 343 369 416 422 580 683 765 817 855 875 1016 1071 1074 1079
371	30	181	8	7 25 283 367 450 507 512 540 665 787 847 861 1032 1155 1170 1190 1235
392	49	20	8	3 79 169 197 226 705 776 812 875 956 1041 1082 1130 1150 1214 1245 1276
55	30	214	9	76 145 262 312 364 514 644 657 730 826 904 1101 1124 1170 1213 1269
87	49	94	9	96 117 131 292 411 580 602 649 653 829 843 980 1139 1175 1279
137	43	147	9	9 40 42 85 129 201 274 284 329 464 778 931 946 1095 1097 1165
217	18	82	9	12 74 225 227 342 609 625 641 687 701 704 889 899 1042 1177 1272
243	17	212	9	13 64 106 108 412 508 521 621 760 958 973 1072 1086 1163 1182 1264
253	30	212	10	148 208 232 234 456 591 817 863 880 950 1002 1060 1062 1076 1198 1264
309	49	170	10	34 138 186 202 266 326 371 843 953 1000 1009 1015 1055 1173 1228 1272
376	43	149	10	1 62 196 226 412 419 469 779 785 805 917 919 1023 1104 1213 1221
406	18	150	10	305 336 365 373 466 515 567 634 750 771 899 927 1057 1192 1200 1219
418	17	239	10	109 112 224 307 427 502 530 654 663 665 676 762 832 1210 1233 1246
454	39	123	10	127 197 349 438 446 569 589 656 807 888 956 1107 1159 1205 1230 1241
472	37	238	10	35 252 290 375 378 383 397 409 526 602 604 643 647 673 849 955
480	35	167	10	270 293 296 402 410 675 730 787 801 869 874 942 1001 1005 1027 1077
7	30	245	11	56 198 587 691 735 760 798 805 833 872 915 934 972 1000 1189
10	49	158	11	7 65 94 215 441 492 527 607 670 680 775 815 885 942 974
24	30	103	12	73 287 316 440 465 472 501 691 713 737 913 1075 1146 1182 1183
83	49	221	12	22 49 256 335 520 715 735 787 808 859 862 911 999 1078 1143
162	43	233	12	165 213 290 386 407 587 603 609 682 872 877 1135 1201 1223 1257
231	49	222	2	112 139 210 238 281 385 489 517 645 737 832 960 1014 1049 1230
244	43	21	2	253 342 376 474 544 604 717 757 773 941 953 958 1048 1081 1170
256	18	108	2	7 97 159 229 254 271 533 615 665 690 841 885 900 1259 1285
316	17	125	2	113 209 233 359 415 442 446 746 774 1015 1149 1196 1202 1203 1247
324	39	15	2	114 125 145 217 368 609 652 689 833 912 1043 1046 1129 1150 1161
373	18	72	6	329 376 393 418 445 500 516 521 551 661 682 759 1171 1227 1261
388	17	60	6	38 67 265 296 355 724 784 794 884 905 970 1146 1263 1282 1288
427	39	137	6	145 148 156 205 354 455 461 617 708 838 921 1004 1052 1083 1086
443	37	53	6	15 37 89 113 126 241 297 409 457 706 736 841 950 952 1178
465	35	175	6	3 47 104 239 299 328 405 539 685 870 923 1063 1127 1156 1176
471	59	61	6	100 120 136 245 460 513 562 587 669 703 966 1012 1125 1145 1259
484	49	113	4	187 347 616 666 676 814 821 853 910 928 1058 1084 1190 1227 1284
25	43	78	4	111 258 402 420 469 627 734 799 911 1051 1105 1123 1148
31	18	207	4	83 93 156 296 460 711 741 786 824 851 897 978 997 1172
66	43	133	7	22 66 186 387 479 672 679 715 730 846 935 1029 1189
71	18	225	7	21 117 190 256 351 380 550 850 983 1032 1048 1076 1124 1244
78	43	86	1	22 51 192 461 528 592 655 705 726 737 807 910 917 1271
88	39	12	9	31 128 314 320 369 423 558 672 735 861 865 1085 1187 1234
92	2	102	6	85 414 433 441 503 689 732 751 888 958 1056 1065 1075 1252
115	18	245	1	69 146 241 422 455 485 718 752 772 851 862 871 961 1126
124	17	243	1	5 58 115 122 131 136 405 692 712 1026 1062 1093 1144 1254
131	43	165	8	1 20 322 384 499 595 687 804 963 983 1033 1042 1159 1232
157	43	194	11	13 283 288 385 449 504 668 698 700 900 910 1117 1161 1272
158	18	4	11	32 76 139 213 619 818 824 825 838 880 976 1078 1234 1299
169	18	70	8	75 198 204 208 210 276 372 460 834 1088 1115 1288 1296
179	37	190	9	113 122 162 339 440 513 596 671 927 956 957 1082 1292 1299
232	17	118	11	102 122 368 461 747 790 807 936 947 949 1041 1045 1143 1253
241	39	152	11	44 336 369 417 422 426 523 525 802 814 989 1194 1207 1276
257	37	159	11	17 79 144 185 212 243 406 413 459 486 856 867 1080 1160
272	18	136	12	100 265 439 728 802 883 923 957 970 1044 1058 1120 1267 1269
