Course	Room	Teacher	Time	Students
281	17	224	12	72 86 101 363 433 511 546 630 827 991 1009 1070 1192 1292
296	17	9	7	16 91 277 338 554 561 774 848 879 955 1050 1070 1150 1228
317	35	62	11	30 37 218 271 377 472 611 794 864 907 1181 1204 1206 1247
344	17	216	4	152 346 462 573 583 614 635 652 809 994 1014 1078 1147 1290
360	18	130	5	3 20 45 269 476 672 741 788 812 933 1019 1198 1222 1224
380	17	41	5	29 159 183 267 353 545 742 750 842 849 915 1059 1061 1292
401	39	247	4	280 285 303 383 525 633 680 733 908 1168 1236 1265 1273 1298
421	37	52	4	72 75 301 310 408 424 435 436 528 643 904 981 998 1169
435	35	7	4	31 80 149 180 220 223 334 343 617 640 721 835 1037 1262
446	59	24	4	10 88 91 323 358 432 470 655 692 696 748 832 1090 1251
452	17	134	8	55 148 171 311 449 539 652 727 739 759 792 952 1172 1239
453	39	193	1	277 287 373 496 560 620 945 1029 1139 1159 1164 1201 1238 1256
460	37	64	2	102 135 198 246 497 618 679 750 871 984 1012 1102 1287
495	35	202	2	33 80 123 318 433 528 550 552 702 708 811 906 1052 1218
497	59	110	10	33 118 133 134 320 329 339 521 538 557 674 773 912 1166
8	39	182	8	88 223 534 538 613 621 866 879 880 955 1012 1153 1286
12	37	215	8	81 140 147 190 242 292 411 532 788 801 1077 1138 1205
19	35	203	8	50 113 186 373 516 531 653 668 762 1028 1140 1204 1206
30	39	115	12	178 365 598 620 637 662 722 909 952 961 982 1087 1105
38	37	213	3	161 184 298 375 495 598 605 644 790 840 849 1061 1211
69	39	26	7	306 329 413 439 474 495 511 543 706 777 1007 1060 1245
86	39	211	5	32 91 95 114 137 138 417 519 901 994 1083 1217 1239
89	37	37	5	12 36 154 264 286 346 397 589 681 951 1046 1138 1144
100	37	210	12	157 338 488 650 656 762 806 819 878 1029 1123 1289 1298
111	59	112	11	356 439 467 490 543 575 669 695 712 1019 1089 1122 1130
151	35	103	9	70 78 211 307 377 381 482 553 589 612 820 1017 1071
160	59	2	9	206 229 343 453 532 682 719 869 873 938 985 1027 1069
178	2	10	9	104 299 356 375 529 573 740 772 876 967 1026 1216 1235
185	37	208	7	56 116 173 486 504 641 660 662 680 912 1099 1157
254	35	98	5	213 340 443 493 501 509 528 831 841 959 985 1041 1203
283	2	148	10	157 189 190 233 292 366 519 601 714 799 1220 1262 1295
287	13	143	10	15 111 182 250 327 475 525 534 719 766 1139 1222 1238
290	35	226	7	3 28 30 34 199 316 401 489 717 890 1024 1038 1108
294	13	35	9	156 221 238 246 259 261 297 326 561 693 847 1065 1100
300	57	78	9	191 209 245 303 570 575 654 699 754 828 860 1108 1237
307	11	50	9	143 237 487 623 645 736 775 863 1037 1096 1138 1141 1214
323	59	112	7	27 192 360 384 552 589 868 895 982 993 1047 1250 1274
333	2	30	11	137 232 266 319 321 479 727 765 979 1135 1142 1229 1248
337	59	131	2	8 85 232 288 538 670 848 1036 1103 1110 1153 1207 1297
339	2	66	2	13 94 317 388 413 492 629 632 642 978 1005 1224 1293
356	37	127	1	128 242 347 464 657 716 720 773 815 843 1075 1113 1174
374	35	74	1	81 121 352 358 594 616 754 819 845 908 948 1081 1249
409	59	60	1	16 47 132 410 521 568 622 701 770 919 1042 1096 1141
428	2	189	1	49 451 497 619 646 659 674 810 882 1157 1195 1208
437	2	161	4	12 193 214 279 725 783 828 834 882 1060 1155 1196 1275
441	59	230	5	1 37 275 349 386 408 502 659 722 780 991 1056 1244
445	35	145	3	169 227 295 323 332 448 488 665 957 1007 1088 1209 1280
462	2	27	5	203 315 543 582 677 723 755 864 932 960 1241 1260 1297
479	13	18	6	43 473 558 572 646 659 720 844 889 1022 1025 1094 1201
499	13	184	11	107 162 217 226 251 320 374 448 579 585 714 800 827
1	13	242	1	61 63 144 180 357 375 481 679 886 914 1066 1212
5	57	69	1	225 233 258 276 306 436 577 766 809 826 955 1171
11	13	250	2	27 228 336 725 754 796 878 1020 1107 1268 1273 1278
44	57	138	2	118 176 183 282 295 392 401 512 777 875 1007 1143
46	13	220	4	260 353 354 475 509 689 772 785 961 963 1239 1248
51	57	210	4	63 231 245 403 537 895 964 965 993 1109 1225 1295
54	59	187	3	124 147 220 342 393 747 816 826 1119 1250 1253 1298
58	2	235	3	129 250 366 378 456 490 609 851 945 1001 1049 1179
75	59	157	8	229 274 462 522 641 758 816 891 943 1058 1068 1203
103	57	202	10	54 188 331 434 439 884 891 1010 1067 1116 1140 1229
132	13	5	5	2 15 171 222 312 427 896 943 1214 1240 1242 1267
133	35	187	12	70 107 217 285 505 632 706 971 993 1028 1154 1296
141	13	248	3	154 406 618 643 778 786 820 845 1142 1181 1231 1232
148	2	34	7	37 163 304 454 499 615 767 970 1019 1072 1197 1280
195	11	248	10	23 161 236 708 844 905 943 958 1033 1093 1195 1289
196	57	85	11	52 127 228 325 568 629 656 742 876 908 922 1178
210	2	213	8	175 273 294 429 510 600 628 702 742 981 1021 1148
211	13	177	8	192 359 415 438 461 851 1044 1067 1163 1212 1259 1294
212	57	124	8	267 312 422 626 809 815 829 973 1034 1149 1182 1209
220	16	90	10	81 263 308 442 691 695 697 724 857 1068 1129 1285
235	13	1	7	130 170 242 279 435 444 599 631 661 678 853 1023
240	57	40	7	392 500 664 684 1006 1033 1081 1186 1213 1233 1278 1285
264	59	209	12	147 222 261 332 563 690 714 805 835 1013 1055 1125
282	11	249	7	1 68 79 143 247 394 450 725 733 737 1239 1253
285	11	135	1	152 234 364 423 437 792 870 872 1024 1104 1198 1213
322	11	89	2	77 82 340 683 712 728 947 977 1034 1077 1176
330	11	116	4	53 165 281 524 563 597 898 968 996 1092 1097 1237
336	11	116	8	16 118 151 400 485 725 860 865 877 913 1015 1293
338	11	105	11	152 209 222 268 302 789 957 981 1030 1044 1190 1281
341	16	81	7	211 216 236 524 630 673 695 872 1004 1162 1215 1219
343	2	99	12	71 183 224 487 595 617 777 831 979 1006 1039 1168
345	57	230	3	53 64 114 524 554 600 620 629 647 1037 1059 1122
347	11	53	3	208 387 506 597 642 675 691 969 1054 1069 1090 1270
353	57	131	5	39 212 230 257 359 385 473 523 760 859 1120 1133
357	57	156	6	134 611 699 780 856 987 1028 1053 1115 1118 1135 1226
370	50	105	10	53 150 286 323 325 341 497 757 871 967 1018 1118
375	9	223	10	119 199 416 445 536 603 688 784 873 926 1111 1209
393	13	159	12	10 59 92 144 279 282 419 642 825 858 1184 1276
397	16	120	9	44 175 401 459 474 607 746 788 855 856 925 1009
403	16	75	4	56 120 164 493 532 539 540 672 1001 1087 1114 1286
404	16	189	3	71 327 486 549 635 803 830 1041 1078 1100 1199 1229
431	16	3	1	21 129 272 378 533 624 678 764 1038 1046 1120 1281
448	57	219	12	247 388 429 452 466 551 711 741 765 766 914 1175
456	16	38	11	57 62 171 386 505 536 781 879 966 1163 1218
457	32	25	10	24 76 86 103 110 464 553 571 620 658 684 1020
485	16	38	8	46 194 269 363 368 586 719 750 822 853 947 1004
487	50	185	8	15 206 253 445 707 794 803 881 951 1009 1111 1208
493	9	95	8	214 275 379 391 546 808 989 995 1143 1181 1230 1240
18	50	93	7	115 239 321 366 463 586 888 902 924 991 1054
41	9	54	7	388 558 636 703 893 995 1034 1147 1167 1170 1196
42	11	246	5	18 72 272 318 322 377 384 919 1189 1192
62	50	80	4	106 202 218 562 681 757 773 793 878 1095 1256
80	16	231	5	75 231 550 734 894 939 998 1112 1134 1257 1282
84	50	4	9	212 538 647 744 767 797 866 1087 1156 1208 1293
91	50	111	5	125 258 308 593 629 637 667 759 761 893 1299
97	11	149	12	95 236 394 449 743 780 843 874 948 1128 1240
102	9	117	4	6 32 242 363 535 595 712 746 778 845 1152
108	32	215	7	88 108 139 357 358 425 437 649 724 728 1221
110	7	170	7	5 60 128 297 470 776 992 1063 1109 1127 1160
112	31	180	7	102 226 350 371 608 688 701 710 834 859 1166
113	9	91	9	41 105 278 409 498 582 706 721 906 1006 1244
135	32	221	4	97 251 270 411 610 613 752 771 932 985 1107
142	11	28	6	11 117 319 579 745 814 840 920 1013 1067 1222
143	16	96	2	68 99 179 259 513 526 532 936 1188 1223 1290
149	50	136	2	51 240 294 503 646 656 793 852 1000 1064 1246
163	1	148	7	10 124 155 243 252 323 336 447 754 999 1152
165	32	223	8	13 98 136 168 764 936 991 1175 1185 1250 1282
166	16	59	6	68 249 369 606 666 704 797 1068 1069 1179 1192
167	7	65	8	47 105 146 249 418 434 511 675 682 916 1071
168	9	134	2	172 174 306 398 494 514 527 659 710 829 1013
171	7	2	10	45 129 203 265 599 823 833 937 1099 1223 1283
173	32	73	2	116 220 324 599 770 938 993 1025 1133 1194 1288
174	31	146	10	19 56 78 165 288 971 989 1084 1177 1232 1278
181	31	179	8	261 423 495 714 743 894 923 988 1025 1048 1300
182	50	238	11	59 158 399 407 415 535 816 927 1088 1119 1145
184	9	188	11	301 396 434 457 555 560 1083 1091 1141 1214 1300
186	50	209	1	8 189 304 305 566 578 710 909 1080 1084 1153
189	32	117	9	151 183 202 241 345 443 515 519 928 1018 1119
194	9	181	5	53 107 418 448 533 861 882 897 1032 1035 1065
198	7	126	4	41 95 155 264 406 784 818 852 1021 1141 1184
215	31	120	4	48 146 360 367 437 483 739 758 800 839 921
216	32	147	11	214 219 255 563 564 671 673 887 935 1102 1250
222	7	242	11	67 414 431 437 514 621 819 892 924 1104 1106
229	31	36	11	100 132 355 500 510 590 837 920 973 1140 1227
234	32	77	5	42 495 566 590 625 786 1066 1093 1103 1128 1193
238	7	174	5	294 300 389 511 542 549 576 753 824 917 969
245	1	17	11	193 341 580 601 634 715 749 769 986 1094 1257
263	16	125	12	84 218 239 291 804 844 885 919 1050 1138
274	50	190	12	28 138 241 254 404 572 596 997 1002 1167 1290
275	1	243	8	24 119 404 424 686 798 811 931 986 999 1040
276	55	89	8	14 48 103 335 370 410 473 505 644 1201
277	55	106	11	121 141 475 552 561 566 891 896 925 967 1001
278	31	153	5	362 379 403 552 584 767 979 1003 1047 1114 1277
279	1	30	5	291 420 428 491 498 594 953 954 989 1008 1122
293	50	158	3	61 261 284 479 493 512 781 860 967 980 1063
298	1	68	10	68 302 330 407 436 506 559 798 850 896 1017
301	9	98	12	333 435 562 610 624 640 673 868 908 990 1266
303	7	110	2	150 167 244 290 428 685 686 790 920 1179 1236
308	31	163	2	17 313 351 397 447 484 510 726 788 1108 1292
310	9	35	3	101 194 398 402 576 697 727 731 769 1036 1174
312	40	173	11	135 267 291 299 305 412 447 509 702 732 1134
314	55	228	7	64 250 342 426 484 748 806 934 1142 1224 1246
320	9	20	1	23 48 74 237 337 344 549 573 901 1186 1216
327	50	100	6	28 131 227 273 488 623 753 1055 1200 1207 1283
329	32	146	1	84 300 317 401 494 505 946 996 1176 1180 1183
331	52	45	11	237 290 304 361 650 683 779 792 854 1048 1123
340	55	44	5	166 174 303 382 554 579 664 892 1045 1121 1167
350	9	167	6	81 147 315 537 692 770 902 1018 1023 1109 1116
358	21	195	11	86 622 710 772 820 963 1082 1118 1133 1233 1282
364	32	31	12	54 69 496 567 660 685 922 978 1194 1199 1297
365	40	232	7	35 87 314 335 372 376 634 694 708 791 1107
385	52	23	7	25 177 197 282 467 522 536 869 898 900 961
387	55	16	10	17 84 167 315 463 696 763 1128 1175 1248 1281
389	32	139	3	50 123 273 280 321 330 693 723 1154 1185 1191
411	40	5	10	14 42 181 211 390 443 736 743 1265 1280 1300
419	40	217	5	58 92 110 240 496 504 562 616 988 1010 1054
422	7	3	9	174 185 414 549 808 840 897 1125 1172 1249 1295
436	1	85	2	211 213 235 520 660 678 801 853 858 1217 1241
438	55	13	2	49 76 168 355 594 608 711 896 1051 1094 1155
444	31	168	9	2 61 468 559 962 987 1008 1010 1168 1202 1242
463	21	172	7	6 65 194 344 569 585 751 805 861 1119 1204
466	1	162	4	16 39 43 99 179 244 813 934 1134 1261 1289
468	7	33	3	454 494 537 774 831 876 987 1047 1089 1228 1243
3	7	169	12	260 351 372 391 421 446 648 726 975 1293
16	52	241	10	282 471 749 803 878 949 987 996 1064 1153
20	1	173	9	362 436 480 556 572 636 776 802 918 972
33	55	46	4	47 150 256 257 316 515 822 972 1180
34	40	50	4	123 215 484 564 612 779 823 1057 1231 1244
36	31	47	12	40 43 65 140 232 262 326 789 1053 1255
56	7	19	1	296 324 425 531 813 938 954 1006 1266 1285
63	33	24	11	77 292 395 438 442 508 647 718 1022 1086
74	33	101	7	39 144 207 421 488 555 572 839 966 1289
77	12	156	7	4 193 333 646 922 949 952 1103 1191 1261
79	1	246	12	110 408 497 544 727 760 995 1101 1179 1211
93	55	118	12	31 55 111 156 612 755 992 1052 1229 1281
94	31	240	1	308 321 368 398 638 661 748 780 927 1114
95	31	71	3	9 34 271 302 351 389 485 533 1084
101	1	232	3	36 313 334 390 564 777 889 1016 1028 1158
104	40	79	12	134 164 166 248 356 370 405 613 793 985
109	52	172	12	11 219 361 581 898 966 1157 1169 1197 1221
123	55	163	9	27 89 337 400 458 465 522 1115 1193 1266
125	12	88	11	119 195 221 506 639 866 913 965 982 1287
126	1	22	1	203 544 583 744 804 911 1003 1127 1142 1286
145	52	17	5	116 134 581 632 638 856 921 928 1100 1137
191	21	218	5	185 361 395 458 555 592 628 690 789 1151
192	55	49	3	90 341 416 457 498 513 531 583 648 940
205	52	96	4	167 185 224 362 480 576 587 732 742 827
209	33	48	5	224 238 289 410 548 811 837 889 1070 1091
219	40	91	8	419 453 484 527 557 639 795 813 994 1268
233	21	69	12	50 124 266 328 477 799 842 941 1158 1294
239	12	225	5	96 319 331 434 482 883 968 1101 1164 1259
251	26	236	5	59 101 263 270 380 430 731 881 1033 1104
265	32	244	6	118 170 228 535 877 904 1087 1260 1271 1297
267	40	119	3	20 25 87 176 178 326 441 636 746 930
268	21	93	10	52 648 720 744 984 1126 1146 1169 1236 1294
269	52	227	3	4 426 431 604 653 977 1026 1032 1096 1275
270	21	224	3	182 276 394 614 640 699 982 1010 1038 1072
288	10	102	5	251 259 287 364 441 610 619 709 749 963
295	52	97	8	135 289 325 466 632 633 683 1218 1254 1264
302	55	183	1	72 328 350 462 522 758 939 940 1102 1227
305	33	73	10	60 106 153 230 255 520 718 740 1075 1270
306	21	206	8	35 300 337 408 624 635 782 1073 1180 1223
315	7	37	6	176 243 262 390 492 768 790 812 831 1073
318	31	97	6	92 142 337 365 568 728 795 839 1245 1274
321	26	192	11	391 638 661 796 797 875 899 940 970 1265
335	40	174	9	188 667 756 834 933 942 965 1007 1105 1152
351	52	222	9	203 298 463 627 660 697 745 887 1240 1274
355	10	204	11	29 159 236 240 333 517 604 756 829 1172
362	33	142	12	9 115 276 442 631 652 833 1127 1174 1258
368	21	99	9	26 334 392 460 491 546 588 669 800 1148
377	1	52	6	64 268 353 545 701 729 881 1036 1169 1291
384	40	7	2	374 713 782 857 944 1066 1189 1195 1252 1280
391	33	133	8	40 332 433 444 500 575 921 946 971 1095
395	41	84	5	24 127 189 718 779 874 903 906 909 948
405	12	249	12	39 145 274 306 381 464 618 734 887 954
410	52	218	2	46 465 723 798 804 830 926 1099 1225 1263
415	15	200	5	94 406 483 526 547 600 793 1159 1233 1269
417	12	79	8	163 205 472 529 588 669 1024 1106 1177 1187
420	40	43	1	18 77 309 393 547 571 611 687 791 1023
423	12	13	10	121 173 195 249 395 470 782 826 928 1211
440	52	64	1	117 216 379 477 684 824 837 935 1121 1220
451	21	94	1	82 97 151 200 396 482 503 930 1025 1299
461	55	29	6	33 133 209 294 383 403 630 862 1035
467	26	206	10	97 297 311 507 593 722 723 918 1045 1191
470	40	6	6	19 420 469 917 999 1051 1099 1132 1205
482	33	229	9	73 99 132 251 424 738 930 977 1146 1162
486	10	229	10	36 90 96 139 356 540 628 846 1080 1132
496	26	197	12	83 180 205 310 752 863 897 920 1226 1251
498	26	186	8	95 184 318 414 515 547 774 934 1039 1165
4	26	51	7	324 339 364 534 607 685 692 1098 1102
9	41	128	10	120 207 348 360 454 624 1085 1202 1215
23	21	240	2	275 277 285 622 724 836 931 1008 1258
26	33	8	2	126 131 187 367 548 606 658 890 940
29	12	207	2	41 586 643 998 1128 1140 1182 1267 1284
39	21	228	4	78 182 472 577 649 938 941 1016 1061
40	41	81	11	105 272 481 537 592 596 1015 1108 1296
43	15	250	11	21 260 330 445 462 520 806 1076 1269
49	26	12	2	26 196 545 574 781 882 964 1027 1136
50	10	141	2	581 639 821 864 884 1056 1072 1152 1272
53	33	129	1	67 642 799 968 1014 1064 1092 1148 1295
61	12	46	1	153 219 312 546 580 612 953 979 1133
64	10	220	7	153 310 331 598 639 939 1094 1255 1287
72	41	47	2	40 133 327 425 578 786 819 1057 1261
76	15	234	2	54 62 143 158 298 637 1114 1199 1210
82	26	54	1	2 166 167 223 733 785 821 1156 1270
98	12	119	9	271 370 407 566 567 689 983 1181 1243
99	44	33	11	170 199 253 293 435 529 630 916 1116
118	15	140	10	143 524 605 703 758 789 836 903 1268
122	44	151	5	11 278 475 688 756 1024 1147 1226 1253
127	10	166	12	191 225 423 525 974 988 1031 1113 1198
144	33	198	4	7 151 243 307 340 518 526 715 1079
153	33	157	3	11 155 200 591 687 726 753 1092 1183
172	10	67	8	90 161 240 386 542 769 1022 1074 1164
199	41	106	7	14 178 248 307 719 929 962 1171 1276
208	12	10	4	161 173 476 534 594 704 950 1013 1044
226	26	45	4	23 115 132 453 477 745 854 857 1163
227	12	135	3	6 103 177 195 314 910 1098 1151
237	44	154	2	18 396 765 838 844 883 974 1116 1219
242	41	150	8	38 176 181 270 345 451 467 523 857
250	52	126	6	52 112 130 184 359 485 731 738 885
266	21	39	6	27 352 504 565 584 600 1002 1092 1174
297	33	75	6	51 160 280 309 563 634 1110 1137 1254
304	53	214	5	98 148 186 556 752 867 941 1095
326	26	198	3	33 259 740 768 817 867 870 904 1085
354	10	217	4	110 237 550 707 759 802 865 1112 1211
361	15	171	7	206 340 354 471 709 729 747 764 930
367	53	43	2	52 108 202 352 516 565 755 762 1039
379	26	42	9	154 215 481 541 633 698 823 912 1283
382	15	137	8	109 153 517 574 1123 1228 1255 1260 1283
399	41	11	12	366 413 432 582 633 649 998 1011 1222
402	15	139	12	313 451 847 916 996 1037 1043 1091 1277
407	10	72	9	71 230 313 380 415 451 810 1217 1255
412	12	31	6	162 431 502 763 868 924 932 1031 1117
426	53	143	11	104 346 373 446 603 757 959 1196 1263
434	44	121	8	43 70 77 350 560 611 616 662 1063
439	10	61	1	10 80 171 293 314 390 391 1097 1131
442	44	171	10	142 220 235 516 709 814 902 976 1046
458	44	18	12	57 193 399 502 815 893 895 1115 1188
464	44	11	7	121 214 317 667 716 753 1069 1089 1184
474	41	29	4	71 208 295 458 551 794 803 1027 1098
483	53	216	7	136 468 574 597 625 640 744 1200
490	38	95	5	25 249 696 816 975 990 1005 1199 1288
2	26	124	6	173 189 255 332 374 427 781 1249
6	10	63	6	36 119 670 886 913 929 997 1082
13	38	92	11	50 60 187 429 615 964 1177 1271
14	38	211	2	304 452 739 975 1004 1055 1061 1279
22	41	128	6	57 109 481 591 711 925 926 1296
27	48	51	5	21 82 93 499 617 662 855 1178
52	53	155	8	431 663 693 898 901 984 1065 1291
73	53	177	12	155 349 398 469 478 493 892 1275
85	41	151	9	169 181 421 551 564 1005 1129 1158
107	48	101	11	108 233 487 654 1031 1034 1176 1231
117	38	114	7	31 438 605 704 771 990 1131 1149
119	48	196	7	179 302 745 796 871 1080 1139 1298
134	15	191	9	247 287 576 971 1062 1083 1263 1300
136	38	192	12	58 234 498 578 623 761 1060 1232
139	41	40	1	264 388 590 601 721 743 1205 1284
140	10	208	3	98 112 395 664 733 785 891 1165
150	48	77	12	45 96 163 252 289 506 645 1218
156	48	42	2	283 309 381 507 651 694 729 1275
190	15	142	4	45 269 309 348 559 654 674 1076
193	36	144	7	244 512 540 582 741 956 1002 1144
214	36	205	5	4 221 246 299 671 766 946 978
218	23	235	7	490 626 655 866 903 932 945 1290
225	46	82	7	82 140 263 393 696 756 1100 1118
236	23	201	5	149 432 510 518 585 618 1085 1125
252	15	21	6	168 284 387 476 664 676 1020 1258
286	44	90	6	94 421 635 959 988 1059 1126
291	15	155	1	34 102 273 301 840 848 1150 1225
313	53	86	10	59 74 178 738 852 1030 1206 1207
319	53	164	6	324 553 783 937 976 986 1091 1251
328	38	23	6	138 345 379 559 809 883 1187 1203
369	5	19	7	284 411 801 881 973 1132 1271
372	44	160	9	80 234 348 360 637 651 837 1049
383	44	199	1	231 252 426 430 514 936 942 1135
390	53	6	1	54 210 650 879 906 933 951 1035
394	48	74	6	93 204 394 425 740 854 964 1039
396	36	195	2	339 751 768 969 1022 1106 1197 1251
408	36	233	11	150 160 177 482 764 822 944 1200
413	36	193	6	111 195 453 581 638 755 944 948
414	46	57	5	357 490 571 821 992 1021 1031 1279
430	23	201	11	206 554 598 705 736 771 1056 1098
432	23	16	6	179 218 281 452 491 527 570 1131
447	44	236	4	66 181 268 289 399 579 593 937
449	38	57	10	163 343 523 619 812 838 1011 1204
459	60	153	7	303 592 644 734 880 1003 1030 1040
469	23	161	2	29 98 128 471 1101 1117 1167 1294
475	38	160	8	32 374 417 541 658 694 846 1216
500	53	194	4	44 69 124 175 628 929 992 1122
21	46	55	2	142 518 806 943 1074 1151 1162
28	38	196	4	114 352 677 914 944 1020 1252
32	48	115	4	201 327 693 860 939 1131 1221
48	36	239	4	5 109 542 606 686 887 1186
128	41	80	3	371 377 496 822 873 923 1194
129	38	122	1	106 228 486 730 1059 1073 1277
138	48	32	10	8 158 168 200 404 707 890
152	5	1	2	257 614 663 903 922 1113 1124
154	60	127	2	157 262 541 557 1011 1235 1256
155	5	49	5	41 188 256 686 886 1053 1088
161	48	87	1	141 402 613 625 651 653 835
164	48	48	8	66 459 606 770 836 907 1053
170	36	154	12	278 480 494 663 1215 1225 1236
175	15	108	3	35 133 316 459 567 584 1130
180	44	141	3	18 60 191 627 720 894 1149
187	60	8	5	210 455 503 583 825 858 1264
