Course	Room	Teacher	Time	Students
65	HLS109	285	7	294 275 852 900 815 742 1056 145 681 89 86 246 615 320 655 661 123 1034 1159 1112
436	SHA410	297	39	292 528 859 1085 231 932 707 797 183 187 189 889 995 319 577 281 1083 307 1038 474
160	HLS109	2	39	976 997 123 211 954 48 487
204	SHA410	54	27	1145 712 593 102 33 858 137 401 379 580 864 997 126 383 1107 909 303 565 41
239	HLS109	133	27	812 911 274 108 104 1081 234 374 589 615 510 516 753 666 410 922 497 781
295	SHAAUD	145	3	911 197 520 104 741 249 650 699 542 363 787 254 960 806 428 420 302 1161 1114
305	ESTW307	67	39	337 1120 746 142 143 610 371 925 513 201 78 310 604 508 870 807 218 755 486
431	STO10	317	39	448 94 97 239 680 375 794 1137 244 171 1126 366 785 860 897 219 1003 59 488
448	HLS105	163	39	812 736 523 1015 434 748 1055 944 131 378 373 184 938 73 805 314 360 761 475
298	CHSAUD	226	2	196 439 1000 742 1005 491 589 208 668 664 692 836 1174 968 283 671 261 115
386	CHSAUD	201	10	191 190 377 376 650 1088 205 769 921 832 259 670 55 985 429 1113 1163 487
669	HLS109	224	16	521 1025 95 552 514 126 411 508 169 894 648 1086 1001 151 153 1118 480 475
45	ESTW307	179	16	619 195 614 143 768 589 696 923 496 570 259 968 50 1164 399 958 472
50	STO10	261	16	816 193 900 558 81 585 450 1110 324 995 416 579 574 1079 918 1036 609
115	CHSAUD	97	3	590 190 818 1057 131 829 702 84 206 255 212 989 223 726 155 399 638
399	HLS109	293	22	1183 297 905 1150 22 1136 881 1043 66 67 735 633 1104 896 737 728
583	ESTW307	304	22	101 236 148 493 189 660 411 1138 381 505 464 1086 1072 1083 1121 532 153
108	SHA410	105	3	525 599 337 333 1 510 176 975 181 659 416 312 468 961 679 474
460	SHA410	71	10	342 233 684 657 1128 725 939 636 965 1153 1070 676 263 534 823 49
547	STO10	8	22	343 810 106 741 742 230 1059 491 709 798 601 977 71 671 953 841
714	HLS105	67	16	813 1120 940 937 926 456 185 884 202 695 68 268 701 423 755 227
370	HLS109	318	43	718 717 39 401 86 246 510 174 72 868 412 1109 984 227 1115
565	SHA410	273	2	279 1067 91 148 660 1128 508 464 169 894 648 1001 720 153 42
24	HLS109	23	2	917 903 556 83 624 545 1181 497 784 632 761 674 156 476
29	ESTW307	215	7	736 198 238 946 683 629 322 778 1181 1094 537 116 727 49
282	ESTW307	122	27	714 193 433 92 490 1136 13 881 928 1031 111 301 847 489
546	STO10	227	27	1103 1064 529 992 688 686 25 84 979 831 322 368 469 535
615	HLS105	134	27	192 277 623 704 705 89 659 203 415 161 961 807 1074 846
720	ESTW307	95	2	748 1050 951 940 623 627 1148 202 549 417 311 1099 775 223
163	STO10	82	2	349 1098 140 708 88 976 654 120 125 367 350 676 958
268	ESTW307	54	43	1145 712 102 858 768 379 376 1089 321 923 383 113 478
323	HLS109	44	3	438 745 91 1058 144 85 15 2 414 776 602 898 823
445	ESTW307	88	3	446 101 22 1132 1131 1040 598 999 574 502 872 1023 48
457	STO10	46	3	199 441 1066 625 66 162 678 675 987 771 225 749
576	HLS105	68	3	528 859 622 455 182 77 1041 769 868 860 762 56 853
614	HLS108	33	3	552 234 146 607 513 314 577 61 1108 1090 532 774 564
33	STO10	212	14	449 447 80 78 8 991 312 503 282 989 116 737
69	HLS105	62	14	712 1063 372 185 950 321 861 258 1107 357 422 958
